Altitude,Theta,Hour,Month,Day,GSD,North,South,West,East,Background Temperature,Background Area,Sum of Background,Background Signal,NEDT Temp,Sum of NEDT,NEDT S,NEDT Signal,Target Signal,Mix Signal,SNR
461218.8742996341,21.299046904491654,02:00,1,2,76.02508917026935,40.829036,40.828186,14.144160436041204,14.145534436041205,286.143798828125,5779.8141833474065,454.44344631224874,695514012300383.9,286.187898828125,454.76933787541367,0.3258915631649302,498768659799.18805,61508091138404.3,744988602183604.6,99.19346156019503
462767.61874974816,12.416525172908235,02:00,1,5,76.28037671699146,40.829036,40.828186,14.14415740528726,14.145531405287262,287.20654296875,5818.695872086132,462.33625146404097,741703735000821.9,287.25064296875,462.6655472236498,0.32929575960883994,528273294703.57477,64042303797008.195,792999132080141.4,97.1001138872682
463422.7335763144,14.037019703552703,02:00,1,5,76.38836267741446,40.829036,40.828186,14.14415612328632,14.14553012328632,287.20654296875,5835.181952536207,462.33625146404097,736789152932978.1,287.25064296875,462.6655472236498,0.32929575960883994,524772918018.7142,63438215741998.766,787600698951117.8,96.82577791929349
466582.3394957442,22.475594894986127,15:00,1,5,76.90917683995784,40.829036,40.828186,14.144149940220998,14.145523940221,288.9638671875,5915.021482199907,475.56775067510387,721864254660220.8,289.0079671875,475.9026869501986,0.33493627509471935,508399747957.46265,59608322560397.08,769268661193727.2,93.2423879515235
466012.6048921302,13.759815049011138,15:00,1,5,76.81526454265882,40.829036,40.828186,14.144151055140505,14.145525055140505,288.9638671875,5900.584866758658,475.56775067510387,758783013804529.8,289.0079671875,475.9026869501986,0.33493627509471935,534401157118.1139,62810207608873.31,808733767123046.5,93.47051864162896
464701.06614112767,10.172073952388686,15:00,1,8,76.59907683644961,40.829036,40.828186,14.144153621704175,14.145527621704176,284.764404296875,5867.418572196311,444.3211575019224,718402220504251.4,284.808504296875,444.64263876848287,0.32148126656045406,519788112378.0384,64009389834075.86,770167687194536.0,99.58955477734348
466320.7334423214,17.211678907340332,02:00,1,13,76.86605496302002,40.829036,40.828186,14.144150452160575,14.145524452160576,280.909423828125,5908.390405578015,416.7621456422013,653946183484289.2,280.953523828125,417.07135452299417,0.30920888079288034,485183142490.9463,61688561947066.89,704566651778186.1,104.33270215038742
466846.2384804234,10.164086489720733,02:00,1,16,76.95267667259726,40.829036,40.828186,14.144149423794362,14.145523423794362,286.335693359375,5921.714447077295,455.8625438111899,737081380565736.9,286.379793359375,456.1890496548069,0.32650584361704205,527925317057.2127,63424077035596.85,788058363315496.9,96.56097387774166
467342.00365670683,18.94139439246137,02:00,1,16,77.03439620714948,40.829036,40.828186,14.14414845362639,14.14552245362639,286.335693359375,5934.298199000087,455.8625438111899,708284757077839.4,286.379793359375,456.1890496548069,0.32650584361704205,507300095764.3386,60816959804542.07,757166274251655.9,96.3562151514435
460811.77999638114,15.738485269001313,15:00,1,16,75.9579857136892,40.829036,40.828186,14.144161232688234,14.145535232688234,287.84033203125,5769.615593681012,467.082357535453,738498854068005.0,287.88443203125,467.4136859732437,0.3313284377906598,523859802625.8616,63654567200053.85,789353628247587.6,97.07706894988254
460129.31453245156,14.505746641134762,15:00,1,16,75.84549140644806,40.829036,40.828186,14.14416256821192,14.14553656821192,287.84033203125,5752.538566685586,467.082357535453,742805317168251.5,287.88443203125,467.4136859732437,0.3313284377906598,526914625117.8447,64215828125309.875,794108492756644.5,97.36525262877078
458660.3280437903,16.61014050956257,15:00,1,19,75.60335077644895,40.829036,40.828186,14.144165442886688,14.145539442886689,288.921875,5715.866648626784,475.2489548000795,748102634073059.8,288.965975,475.58375613195386,0.3348013318743597,527020113851.1483,63970244649450.62,798984703646683.8,96.54673177804963
467196.5843072912,12.609908293016936,02:00,1,24,77.01042598471834,40.829036,40.828186,14.144148738199007,14.14552273819901,282.9423828125,5930.6057103477815,431.16193896333306,691174354404012.9,282.9864828125,431.477609695411,0.3156707320779333,506036119451.542,62786783344716.05,742306774127858.9,101.04500006692199
467537.9292192119,19.63359306169852,02:00,1,24,77.06669162954043,40.829036,40.828186,14.14414807021764,14.14552207021764,282.9423828125,5939.274958722677,431.16193896333306,667080534750073.8,282.9864828125,431.477609695411,0.3156707320779333,488396079825.1327,60509631317758.6,716358483086555.9,100.89750997617712
455560.06245488697,23.328672954009203,15:00,1,24,75.09231798706928,40.829036,40.828186,14.144171509828306,14.145545509828306,286.735595703125,5638.8562206711285,458.8284909025071,692088665260551.0,286.779695703125,459.156277455864,0.3277865533568729,494427357283.08923,62135589682257.4,741950690266279.4,100.84803009227376
466950.5728684726,14.69066548944028,02:00,1,27,76.96987464864934,40.829036,40.828186,14.144149219621324,14.145523219621325,283.783935546875,5924.361603428792,437.21006868789505,694714936682092.5,283.828035546875,437.5284210051437,0.3183523172486389,505853194515.20886,62300998805607.74,745289525400240.1,99.97878686249368
454277.1071725774,17.1410237847543,15:00,1,27,74.88084184163364,40.829036,40.828186,14.144174020456692,14.145548020456692,287.74853515625,5607.140474911751,466.3931307202545,732101724411914.1,287.79263515625,466.7241646345395,0.3310339142850012,519627077509.9355,65027631238926.12,784072758840263.0,100.01602433305675
453621.1388320626,9.51987346349986,15:00,1,27,74.77271519209823,40.829036,40.828186,14.144175304127884,14.145549304127885,287.74853515625,5590.958937198638,466.3931307202545,755580636578011.6,287.79263515625,466.7241646345395,0.3310339142850012,536291808796.8096,67307344736168.33,809373651392154.1,100.30549400862398
