Altitude,Theta,Hour,Month,Day,GSD,North,South,West,East,Background Temperature
460.2420625841496,2.5589411734653496,02:00,4,15,75.86407625013454,40.829036,40.828186,14.144162347574095,14.145536347574096,289.92822265625
460.6754098965812,19.665452658707235,02:00,4,15,75.93550712581009,40.829036,40.828186,14.144161499552284,14.145535499552285,289.92822265625
462.7466657188615,13.286189585329767,15:00,4,15,76.27692292069146,40.829036,40.828186,14.144157446290462,14.145531446290462,293.076904296875
462.1745280740652,23.19989342959316,15:00,4,15,76.18261451770306,40.829036,40.828186,14.144158565912504,14.145532565912506,293.076904296875
461.0079632603738,18.536772886260707,15:00,4,18,75.99032361434732,40.829036,40.828186,14.144160848775186,14.145534848775188,288.083984375
463.1484775682457,2.67983718284052,02:00,4,23,76.34315564311743,40.829036,40.828186,14.144156659980723,14.145530659980723,286.091552734375
458.7058090625569,10.823153729904073,15:00,4,23,75.6108476476742,40.829036,40.828186,14.144165353884414,14.145539353884416,287.67138671875
456.5642829606277,20.81593098697735,15:00,4,26,75.25784883966391,40.829036,40.828186,14.144169544658869,14.145543544658867,288.988037109375
463.7987228569673,21.194263985380733,02:00,5,1,76.45033893246713,40.829036,40.828186,14.144155387509027,14.145529387509027,290.91845703125
464.1857268450858,7.743472171602762,02:00,5,1,76.51413079864052,40.829036,40.828186,14.144154630176944,14.145528630176944,290.91845703125
454.3434955410848,19.92454870394003,15:00,5,1,74.89178497929969,40.829036,40.828186,14.14417389054061,14.14554789054061,290.395263671875
453.6604225689762,10.396695278580736,15:00,5,1,74.77919053334772,40.829036,40.828186,14.144175227253136,14.145549227253136,290.395263671875
463.5629786311956,20.36499426961972,02:00,5,6,76.41147999415311,40.829036,40.828186,14.144155848839327,14.14552984883933,288.159423828125
462.6645303918558,20.895310893376763,02:00,5,9,76.26338413052568,40.829036,40.828186,14.14415760702193,14.14553160702193,289.82373046875
462.9038574919505,13.417132766478735,02:00,5,9,76.30283365251931,40.829036,40.828186,14.144157138680264,14.145531138680266,289.82373046875
449.6736898361405,13.413807169235216,15:00,5,9,74.122036786177,40.829036,40.828186,14.144183028931424,14.145557028931425,292.635986328125
449.0510575900562,13.834927322465632,15:00,5,9,74.01940509726201,40.829036,40.828186,14.144184247366873,14.145558247366871,292.635986328125
460.8713300644768,17.75719254603757,02:00,5,14,75.9678016589797,40.829036,40.828186,14.144161116154091,14.145535116154091,290.196044921875
461.0344641459315,20.108142067900303,02:00,5,14,75.99469189218652,40.829036,40.828186,14.144160796915331,14.145534796915332,290.196044921875
459.5945260995213,19.438226860860198,02:00,5,17,75.75733946695406,40.829036,40.828186,14.144163614744905,14.145537614744905,291.717041015625
446.5544131313836,17.50861066098906,15:00,5,17,73.6078702963819,40.829036,40.828186,14.14418913307609,14.14556313307609,294.8583984375
446.0480809366773,12.22225224252286,15:00,5,17,73.52440894560614,40.829036,40.828186,14.144190123922767,14.14556412392277,294.8583984375
456.7560996654483,12.074327639737977,02:00,5,22,75.28946697782114,40.829036,40.828186,14.144169169290786,14.145543169290786,291.771240234375
456.843882569131,16.99925938078574,02:00,5,22,75.30393668721939,40.829036,40.828186,14.14416899750752,14.14554299750752,291.771240234375
445.4289178550216,18.36890950731369,15:00,5,22,73.42234909698158,40.829036,40.828186,14.144191335569372,14.145565335569373,293.459716796875
445.4288515062262,22.79503048060078,15:00,5,25,73.42233816036695,40.829036,40.828186,14.144191335699212,14.145565335699212,292.81982421875
445.0714962746688,17.701554748271434,15:00,5,25,73.36343345186847,40.829036,40.828186,14.14419203501134,14.14556603501134,292.81982421875
